Nombre de tabla;Nombre del campo;Tipo de dato;Longitud;Restricciones;Descripción;;;;
arqueo_caja;id_arqueo;INT;10;PK, NN;Identificador único del arqueo;;;;
arqueo_caja;id_usuario;INT;10;FK -> usuarios, NN;FK: cajero que abre/cierra la caja;;;;
arqueo_caja;fecha_apertura;DATETIME;;NN;Momento de apertura de la caja;;;;
arqueo_caja;fecha_cierre;DATETIME;;;Momento de cierre (NULL = caja abierta);;;;
arqueo_caja;monto_inicial;DECIMAL;12;NN;Base con la que abre la caja;;;;
arqueo_caja;monto_final;DECIMAL;12;;Efectivo contado al cierre;;;;
arqueo_caja;total_ventas;DECIMAL;12;;Total vendido en el turno;;;;
arqueo_caja;diferencia;DECIMAL;12;;Calculado: descuadre de la caja;;;;
arqueo_caja;observacion;VARCHAR;255;;Notas del arqueo;;;;
categorias;id_categoria;INT;10;PK, NN;Identificador único de la categoría;;;;
categorias;nombre;VARCHAR;50;UNIQUE, NN;Nombre de la categoría (Lácteos, Abarrotes...);;;;
categorias;descripcion;VARCHAR;255;;Descripción opcional de la categoría;;;;
chatbot_sesiones;id_sesion;INT;10;PK, NN;Identificador de la sesión de chat;;;;
chatbot_sesiones;telefono;VARCHAR;20;UNIQUE, NN;Número de WhatsApp del cliente (sin el prefijo whatsapp:);;;;
chatbot_sesiones;id_cliente;INT;10;FK -> clientes;FK: cliente ya identificado en esta conversación;;;;
chatbot_sesiones;paso;VARCHAR;30;NN;Paso actual del flujo conversacional;;;;
chatbot_sesiones;carrito;JSON;;;"Productos elegidos: [{""codigo"",""nombre"",""cantidad"",""precio""}]";;;;
chatbot_sesiones;direccion_temp;VARCHAR;150;;Dirección de entrega capturada en la conversación;;;;
chatbot_sesiones;barrio_temp;VARCHAR;50;;Barrio capturado en la conversación;;;;
chatbot_sesiones;fecha_actualizacion;DATETIME;;NN;Última interacción;;;;
clientes;id_cliente;INT;10;PK, NN;Identificador único del cliente;;;;
clientes;nombre;VARCHAR;100;NN;Nombre del cliente;;;;
clientes;telefono;VARCHAR;20;UNIQUE, NN;Teléfono (canal del ChatBot de WhatsApp);;;;
clientes;direccion;VARCHAR;150;;Dirección registrada del cliente;;;;
clientes;barrio;VARCHAR;50;;Barrio o sector;;;;
detalle_venta;id_detalle;INT;10;PK, NN;Identificador único del renglón;;;;
detalle_venta;id_venta;INT;10;FK -> ventas, NN;FK: venta a la que pertenece el renglón;;;;
detalle_venta;codigo_producto;VARCHAR;20;FK -> productos, NN;FK: producto vendido;;;;
detalle_venta;cantidad;INT;10;NN;Unidades vendidas;;;;
detalle_venta;precio_venta;DECIMAL;10;NN;Precio histórico al momento de la venta;;;;
detalle_venta;subtotal;DECIMAL;12;;Calculado por el motor: cantidad x precio;;;;
domicilios;id_domicilio;INT;10;PK, NN;Identificador único del domicilio;;;;
domicilios;id_venta;INT;10;FK -> ventas, UNIQUE, NN;FK única: venta que se despacha;;;;
domicilios;id_domiciliario;INT;10;FK -> usuarios;FK: usuario domiciliario asignado (NULL = sin asignar);;;;
domicilios;direccion_entrega;VARCHAR;150;NN;Dirección exacta de entrega;;;;
domicilios;barrio;VARCHAR;50;;Barrio o sector de entrega;;;;
domicilios;telefono_contacto;VARCHAR;20;NN;Teléfono de quien recibe;;;;
domicilios;estado;ENUM;9;NN;Estado del recorrido (CU22.2: inicia Pendiente);;;;
domicilios;fecha_asignacion;DATETIME;;;Momento en que se asignó el domiciliario;;;;
domicilios;fecha_entrega;DATETIME;;;Momento en que se entregó el pedido;;;;
domicilios;observacion;VARCHAR;255;;Notas del cliente o del ChatBot;;;;
log_auditoria;id_log;INT;10;PK, NN;Identificador único del evento;;;;
log_auditoria;id_usuario;INT;10;FK -> usuarios;FK: usuario que ejecutó la acción (NULL = intento anónimo);;;;
log_auditoria;accion;VARCHAR;50;NN;Acción realizada: registrar, actualizar, eliminar, login...;;;;
log_auditoria;modulo;VARCHAR;30;NN;Módulo afectado: inventario, ventas, usuarios...;;;;
log_auditoria;detalle;VARCHAR;255;;Descripción del evento;;;;
log_auditoria;ip;VARCHAR;45;;Dirección IP de origen;;;;
log_auditoria;fecha;DATETIME;;NN;Fecha y hora del evento;;;;
metodos_pago;id_metodo_pago;INT;10;PK, NN;Identificador único del método de pago;;;;
metodos_pago;nombre;VARCHAR;30;UNIQUE, NN;Nombre: Efectivo, Nequi, Transferencia, Tarjeta;;;;
metodos_pago;activo;TINYINT;3;NN;1=disponible para cobrar;;;;
movimientos_inventario;id_movimiento;INT;10;PK, NN;Identificador único del movimiento;;;;
movimientos_inventario;codigo_producto;VARCHAR;20;FK -> productos, NN;FK: producto afectado por el movimiento;;;;
movimientos_inventario;id_usuario;INT;10;FK -> usuarios, NN;FK: usuario responsable del movimiento;;;;
movimientos_inventario;tipo;ENUM;7;NN;Naturaleza del movimiento de stock;;;;
movimientos_inventario;cantidad;INT;10;NN;Unidades del movimiento (positivas);;;;
movimientos_inventario;observacion;VARCHAR;255;;Motivo o nota del movimiento;;;;
movimientos_inventario;fecha;DATETIME;;NN;Fecha y hora del movimiento;;;;
productos;codigo_producto;VARCHAR;20;PK, NN;Código de barras del producto (leído con la pistola);;;;
productos;id_categoria;INT;10;FK -> categorias, NN;FK: categoría que clasifica el producto;;;;
productos;nombre;VARCHAR;100;NN;Nombre comercial del producto;;;;
productos;descripcion;VARCHAR;255;;Descripción opcional;;;;
productos;precio_unitario;DECIMAL;10;NN;Precio de venta vigente (COP);;;;
productos;stock_actual;INT;10;NN;Unidades disponibles en este momento;;;;
productos;stock_minimo;INT;10;NN;Umbral que dispara la alerta de stock;;;;
productos;unidad_medida;VARCHAR;20;;Unidad, kilogramo, litro, paquete...;;;;
productos;activo;TINYINT;3;NN;1=en catálogo, 0=descontinuado;;;;
usuarios;id_usuario;INT;10;PK, NN;Identificador único del usuario;;;;
usuarios;documento;VARCHAR;15;UNIQUE, NN;Documento de identidad;;;;
usuarios;nombre;VARCHAR;100;NN;Nombre completo del usuario;;;;
usuarios;email;VARCHAR;100;UNIQUE, NN;Correo electrónico (usado para iniciar sesión);;;;
usuarios;telefono;VARCHAR;20;;Teléfono de contacto;;;;
usuarios;rol;ENUM;13;NN;Rol que define los permisos en el sistema;;;;
usuarios;contrasena_hash;VARCHAR;255;NN;Contraseña encriptada (nunca en texto plano);;;;
usuarios;activo;TINYINT;3;NN;1=activo, 0=bloqueado;;;;
usuarios;fecha_registro;DATETIME;;NN;Fecha de creación de la cuenta;;;;
ventas;id_venta;INT;10;PK, NN;Identificador único de la venta;;;;
ventas;id_usuario;INT;10;FK -> usuarios, NN;FK: cajero que registró la venta;;;;
ventas;id_cliente;INT;10;FK -> clientes;FK: cliente (NULL = venta ocasional de mostrador);;;;
ventas;id_metodo_pago;INT;10;FK -> metodos_pago, NN;FK: método con el que se pagó;;;;
ventas;fecha;DATETIME;;NN;Fecha y hora de la venta;;;;
ventas;total;DECIMAL;12;NN;Valor total de la venta (COP);;;;
ventas;estado;ENUM;9;NN;Estado actual de la venta;;;;
